molid,identifiere,GGI1,GGI2,GGI3,GGI4,GGI5,GGI6,GGI7,GGI8,GGI9,GGI10,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,JGT
156,C10H16,2.5,1.333,0.5,0.38200000000000001,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.25,0.10299999999999999,0.044999999999999998,0.064000000000000001,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.54000000000000004
157,C10H16,2.5,1.333,0.5,0.38200000000000001,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.25,0.10299999999999999,0.044999999999999998,0.064000000000000001,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.54000000000000004
158,C6H14O,1.5,0.66700000000000004,0.25,0.080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.111,0.050000000000000003,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.438
159,C6H14O,1.5,0.66700000000000004,0.25,0.080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.111,0.050000000000000003,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.438
160,C3H6O2,1.5,0.44400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48599999999999999
161,C14H20O2,2.0,0.88900000000000001,0.438,0.23100000000000001,0.25700000000000001,0.14199999999999999,0.066000000000000003,0.052999999999999999,0.025999999999999999,0.021000000000000001,0.125,0.049000000000000002,0.027,0.017999999999999999,0.021000000000000001,0.012,0.0070000000000000001,0.0070000000000000001,0.0040000000000000001,0.0040000000000000001,0.27400000000000002
162,C4H8O2,1.5,0.66700000000000004,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999999,0.13300000000000001,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46500000000000002
163,C10H10O4,3.5,1.333,0.81299999999999994,0.93300000000000005,0.46500000000000002,0.16200000000000001,0.062,0.0,0.0,0.0,0.25,0.073999999999999996,0.044999999999999998,0.058000000000000003,0.035999999999999997,0.023,0.021000000000000001,0.0,0.0,0.0,0.50700000000000001
164,C6H14S2,0.5,0.222,0.125,0.080000000000000002,0.056000000000000001,0.041000000000000002,0.0,0.0,0.0,0.0,0.070999999999999994,0.036999999999999998,0.025000000000000001,0.02,0.019,0.02,0.0,0.0,0.0,0.0,0.192
165,C7H8O2,1.5,1.111,0.5,0.26200000000000001,0.063,0.0,0.0,0.0,0.0,0.0,0.16700000000000001,0.10100000000000001,0.050000000000000003,0.051999999999999998,0.063,0.0,0.0,0.0,0.0,0.0,0.433
166,C5H6SO,1.0,0.44400000000000001,0.222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.14299999999999999,0.056000000000000001,0.056000000000000001,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.316
167,C5H10O2,1.5,0.66700000000000004,0.25,0.080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.111,0.050000000000000003,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.438
168,C10H20O,1.5,0.66700000000000004,0.25,0.16,0.111,0.082000000000000003,0.062,0.025000000000000001,0.0,0.0,0.14999999999999999,0.067000000000000004,0.028000000000000001,0.023,0.019,0.016,0.016,0.0080000000000000002,0.0,0.0,0.32600000000000001
169,C5H8O2,2.0,1.111,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33300000000000002,0.159,0.042000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53400000000000003
170,C8H16O3,2.0,1.333,0.625,0.32000000000000001,0.111,0.041000000000000002,0.031,0.0,0.0,0.0,0.20000000000000001,0.121,0.057000000000000002,0.035999999999999997,0.016,0.01,0.016,0.0,0.0,0.0,0.45500000000000002
171,C8H16O3,2.0,1.333,0.625,0.32000000000000001,0.111,0.041000000000000002,0.031,0.0,0.0,0.0,0.20000000000000001,0.121,0.057000000000000002,0.035999999999999997,0.016,0.01,0.016,0.0,0.0,0.0,0.45500000000000002
172,C9H18O,1.5,0.66700000000000004,0.25,0.16,0.111,0.082000000000000003,0.031,0.0,0.0,0.0,0.16700000000000001,0.073999999999999996,0.031,0.027,0.021999999999999999,0.02,0.01,0.0,0.0,0.0,0.35199999999999998
173,C6H10O,0.5,0.222,0.125,0.080000000000000002,0.056000000000000001,0.0,0.0,0.0,0.0,0.0,0.083000000000000004,0.043999999999999997,0.031,0.027,0.028000000000000001,0.0,0.0,0.0,0.0,0.0,0.21299999999999999
