molID,identifier,"('TOPOLOGICAL', 'TI2')","('WALK_PATH_COUNTS', 'MPC04')","('CONNECTIVITY_INDICES', 'X2v')","('INFORMATION_INDICES', 'HVcpx')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('RDF', 'RDF110m')","('WHIM', 'G2v')","('GETAWAY', 'HATS2u')","('GETAWAY', 'HATS0p')","('GETAWAY', 'R4m+')","('GETAWAY', 'R2e')","('GETAWAY', 'R6p')","('GETAWAY', 'R6p')","('GETAWAY', 'RTp+')","('ATOMCENTRED_FRAGMENTS', 'H-049')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('MOLECULAR_PROPERTIES', 'Hy')","('MOLECULAR_PROPERTIES', 'TPSA(NO)')","('MOLECULAR_PROPERTIES', 'TPSA(Tot)')"
43,none,2.5699999999999998,6.0,2.6099999999999999,2.411,0.56299999999999994,0.0,0.17699999999999999,0.46899999999999997,0.092999999999999999,0.042000000000000003,1.861,0.19400000000000001,0.19400000000000001,0.050999999999999997,0.0,0.0,-0.84799999999999998,17.07,17.07
44,none,2.5699999999999998,6.0,2.6099999999999999,2.411,0.56299999999999994,0.0,0.17699999999999999,0.46899999999999997,0.092999999999999999,0.042000000000000003,1.861,0.19400000000000001,0.19400000000000001,0.050999999999999997,0.0,0.0,-0.84799999999999998,17.07,17.07
45,none,1.659,12.0,1.9219999999999999,2.2000000000000002,0.5,0.0,0.19700000000000001,0.80600000000000005,0.189,0.040000000000000001,1.552,0.10100000000000001,0.10100000000000001,0.095000000000000001,0.0,0.0,-0.84799999999999998,17.07,17.07
46,none,3.9929999999999999,18.0,2.573,3.0059999999999998,0.98499999999999999,0.19400000000000001,0.19800000000000001,0.38200000000000001,0.122,0.028000000000000001,1.573,0.153,0.153,0.075999999999999998,0.0,0.0,-0.76600000000000001,35.530000000000001,35.530000000000001
47,none,2.8620000000000001,7.0,1.859,2.5619999999999998,0.93700000000000006,0.0,0.183,0.46500000000000002,0.11600000000000001,0.033000000000000002,1.5800000000000001,0.18099999999999999,0.18099999999999999,0.073999999999999996,0.0,0.0,-0.76800000000000002,26.300000000000001,26.300000000000001
48,none,3.4489999999999998,5.0,2.0470000000000002,2.6230000000000002,0.96399999999999997,0.0,0.18099999999999999,0.49299999999999999,0.095000000000000001,0.017000000000000001,1.851,0.13600000000000001,0.13600000000000001,0.053999999999999999,0.0,0.0,-0.74199999999999999,26.300000000000001,26.300000000000001
49,none,1.4810000000000001,10.0,1.5169999999999999,2.1720000000000002,1.0,0.0,0.20000000000000001,0.89500000000000002,0.188,0.025999999999999999,1.7090000000000001,0.106,0.106,0.086999999999999994,0.0,0.0,-0.82799999999999996,9.2300000000000004,9.2300000000000004
50,none,3.0489999999999999,18.0,2.6280000000000001,2.8359999999999999,1.0,0.0,0.17699999999999999,0.442,0.11799999999999999,0.017999999999999999,1.835,0.191,0.191,0.066000000000000003,0.0,0.0,-0.748,35.530000000000001,35.530000000000001
51,none,1.4810000000000001,10.0,1.5289999999999999,2.1720000000000002,0.5,0.0,0.20799999999999999,0.23100000000000001,0.092999999999999999,0.044999999999999998,0.91500000000000004,0.010999999999999999,0.010999999999999999,0.062,1.0,0.0,-0.82799999999999996,17.07,17.07
52,none,2.9049999999999998,14.0,2.266,2.6059999999999999,0.83299999999999996,0.0,0.57199999999999995,0.46500000000000002,0.13900000000000001,0.017999999999999999,1.633,0.17399999999999999,0.17399999999999999,0.070999999999999994,0.0,0.0,-0.79000000000000004,26.300000000000001,26.300000000000001
53,none,2.9049999999999998,14.0,2.6880000000000002,2.6059999999999999,0.5,0.0,0.70699999999999996,0.432,0.125,0.02,1.671,0.19,0.19,0.069000000000000006,0.0,0.0,-0.877,17.07,17.07
54,none,2.839,21.0,4.6520000000000001,2.8010000000000002,0.5,0.0,0.23499999999999999,0.35899999999999999,0.089999999999999997,0.014999999999999999,1.8089999999999999,0.193,0.193,0.050999999999999997,1.0,0.0,-0.90500000000000003,17.07,17.07
55,none,2.0939999999999999,1.0,0.95499999999999996,2.0019999999999998,0.625,0.0,0.21299999999999999,0.77600000000000002,0.152,0.049000000000000002,1.758,0.0,0.0,0.074999999999999997,1.0,0.0,-0.71899999999999997,17.07,17.07
56,none,2.0939999999999999,1.0,1.077,2.0019999999999998,0.625,0.0,0.20399999999999999,0.68600000000000005,0.12,0.035000000000000003,1.79,0.017999999999999999,0.017999999999999999,0.056000000000000001,0.0,0.0,0.13200000000000001,20.23,20.23
57,none,2.9990000000000001,4.0,1.694,2.4329999999999998,1.0,0.0,0.188,0.56399999999999995,0.109,0.017999999999999999,1.8140000000000001,0.123,0.123,0.060999999999999999,0.0,0.0,-0.70999999999999996,26.300000000000001,26.300000000000001
